labels,count
GMC Savana Van 2012,68
Chrysler 300 SRT-8 2010,49
Mercedes-Benz 300-Class Convertible 1993,48
Mitsubishi Lancer Sedan 2012,48
Jaguar XK XKR 2012,47
Chevrolet Corvette ZR1 2012,47
Audi S6 Sedan 2011,46
Volkswagen Golf Hatchback 1991,46
Ford GT Coupe 2006,46
Suzuki Kizashi Sedan 2012,46
Nissan 240SX Coupe 1998,46
Mercedes-Benz C-Class Sedan 2012,46
Bentley Continental GT Coupe 2007,46
Eagle Talon Hatchback 1998,46
Volvo 240 Sedan 1993,46
Dodge Durango SUV 2007,46
Jeep Grand Cherokee SUV 2012,45
Ford Focus Sedan 2007,45
Spyker C8 Convertible 2009,45
Geo Metro Convertible 1993,45
Cadillac Escalade EXT Crew Cab 2007,45
Chevrolet Avalanche Crew Cab 2012,45
Chevrolet Camaro Convertible 2012,45
Lamborghini Diablo Coupe 2001,45
Chevrolet Malibu Sedan 2007,45
Ford Expedition EL SUV 2009,45
Chevrolet Monte Carlo Coupe 2007,45
Mercedes-Benz S-Class Sedan 2012,45
Acura Integra Type R 2001,45
Ford F-150 Regular Cab 2007,45
Chrysler PT Cruiser Convertible 2008,45
Bentley Continental Flying Spur Sedan 2007,45
Daewoo Nubira Wagon 2002,45
GMC Acadia SUV 2012,45
Jeep Liberty SUV 2012,45
AM General Hummer SUV 2000,45
Ford Mustang Convertible 2007,45
Aston Martin V8 Vantage Convertible 2012,45
BMW M3 Coupe 2012,45
Audi S4 Sedan 2007,45
Dodge Caravan Minivan 1997,44
Chevrolet Silverado 1500 Extended Cab 2012,44
Hyundai Tucson SUV 2012,44
Chevrolet Silverado 1500 Regular Cab 2012,44
Toyota Corolla Sedan 2012,44
Chevrolet Sonic Sedan 2012,44
Mercedes-Benz E-Class Sedan 2012,44
Chevrolet Traverse SUV 2012,44
HUMMER H2 SUT Crew Cab 2009,44
McLaren MP4-12C Coupe 2012,44
Toyota Camry Sedan 2012,44
Dodge Durango SUV 2012,44
Dodge Journey SUV 2012,44
Dodge Ram Pickup 3500 Quad Cab 2009,44
Hyundai Genesis Sedan 2012,44
Lamborghini Aventador Coupe 2012,44
Jeep Patriot SUV 2012,44
Fisker Karma Sedan 2012,44
Ford Freestar Minivan 2007,44
Audi V8 Sedan 1994,44
Chrysler Aspen SUV 2009,44
Nissan Juke Hatchback 2012,44
Rolls-Royce Phantom Sedan 2012,44
BMW 6 Series Convertible 2007,44
Bugatti Veyron 16.4 Coupe 2009,44
Plymouth Neon Coupe 1999,44
Porsche Panamera Sedan 2012,44
Land Rover Range Rover SUV 2012,43
Hyundai Elantra Touring Hatchback 2012,43
Ford Edge SUV 2012,43
Chevrolet Impala Sedan 2007,43
Audi 100 Wagon 1994,43
Dodge Ram Pickup 3500 Crew Cab 2010,43
Buick Rainier SUV 2007,43
Land Rover LR2 SUV 2012,43
Cadillac CTS-V Sedan 2012,43
Volkswagen Golf Hatchback 2012,43
Jeep Compass SUV 2012,43
Spyker C8 Coupe 2009,43
Audi R8 Coupe 2012,43
Volkswagen Beetle Hatchback 2012,43
Jeep Wrangler SUV 2012,43
GMC Yukon Hybrid SUV 2012,43
Volvo XC90 SUV 2007,43
Audi TTS Coupe 2012,43
Chevrolet Silverado 1500 Classic Extended Cab 2007,43
Acura TL Sedan 2012,43
BMW 3 Series Sedan 2012,43
Ford Fiesta Sedan 2012,43
Ferrari 458 Italia Coupe 2012,43
Audi S5 Coupe 2012,43
Chrysler Crossfire Convertible 2008,43
Ford F-150 Regular Cab 2012,43
Hyundai Santa Fe SUV 2012,42
Ferrari FF Coupe 2012,42
BMW X5 SUV 2007,42
Volvo C30 Hatchback 2012,42
Suzuki SX4 Hatchback 2012,42
Acura TL Type-S 2008,42
Ford F-450 Super Duty Crew Cab 2012,42
Hyundai Veracruz SUV 2012,42
Scion xD Hatchback 2012,42
Buick Enclave SUV 2012,42
Hyundai Elantra Sedan 2007,42
Dodge Charger SRT-8 2009,42
Honda Odyssey Minivan 2012,42
Dodge Caliber Wagon 2007,42
GMC Terrain SUV 2012,42
Audi S5 Convertible 2012,42
Hyundai Azera Sedan 2012,42
BMW 3 Series Wagon 2012,42
Chevrolet Cobalt SS 2010,42
Ford Ranger SuperCab 2011,42
Nissan Leaf Hatchback 2012,42
BMW X6 SUV 2012,42
Honda Odyssey Minivan 2007,41
Mercedes-Benz Sprinter Van 2012,41
Dodge Dakota Crew Cab 2010,41
BMW M5 Sedan 2010,41
Acura TSX Sedan 2012,41
Aston Martin V8 Vantage Coupe 2012,41
Audi 100 Sedan 1994,41
Audi A5 Coupe 2012,41
Audi TT Hatchback 2011,41
BMW 1 Series Coupe 2012,41
Toyota 4Runner SUV 2012,41
Hyundai Veloster Hatchback 2012,41
Dodge Charger Sedan 2012,41
BMW M6 Convertible 2010,41
Suzuki SX4 Sedan 2012,41
BMW Z4 Convertible 2012,41
Ram C/V Cargo Van Minivan 2012,41
Cadillac SRX SUV 2012,41
Chrysler Sebring Convertible 2010,41
Dodge Caliber Wagon 2012,41
Isuzu Ascender SUV 2008,40
smart fortwo Convertible 2012,40
Hyundai Sonata Sedan 2012,40
GMC Canyon Extended Cab 2012,40
Dodge Magnum Wagon 2008,40
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,40
Dodge Sprinter Cargo Van 2009,40
Chevrolet Corvette Convertible 2012,40
Ferrari 458 Italia Convertible 2012,40
Chevrolet TrailBlazer SS 2009,40
Audi TT RS Coupe 2012,40
Audi S4 Sedan 2012,40
BMW X3 SUV 2012,39
Dodge Challenger SRT8 2011,39
Rolls-Royce Ghost Sedan 2012,39
Tesla Model S Sedan 2012,39
Toyota Sequoia SUV 2012,39
Nissan NV Passenger Van 2012,39
Acura ZDX Hatchback 2012,39
Bentley Arnage Sedan 2009,39
Chevrolet Malibu Hybrid Sedan 2010,39
Lincoln Town Car Sedan 2011,39
Dodge Dakota Club Cab 2007,39
HUMMER H3T Crew Cab 2010,39
Honda Accord Coupe 2012,39
Ferrari California Convertible 2012,39
Honda Accord Sedan 2012,39
Suzuki Aerio Sedan 2007,38
Chevrolet Corvette Ron Fellows Edition Z06 2007,38
Chrysler Town and Country Minivan 2012,38
Ford E-Series Wagon Van 2012,38
Chevrolet Silverado 2500HD Regular Cab 2012,38
Aston Martin Virage Coupe 2012,38
Buick Verano Sedan 2012,38
Bentley Continental Supersports Conv. Convertible 2012,37
MINI Cooper Roadster Convertible 2012,37
Chevrolet HHR SS 2010,37
Mercedes-Benz SL-Class Coupe 2009,37
Chevrolet Tahoe Hybrid SUV 2012,37
Audi RS 4 Convertible 2008,37
Lamborghini Gallardo LP 570-4 Superleggera 2012,36
BMW 1 Series Convertible 2012,36
Lamborghini Reventon Coupe 2008,36
Bentley Mulsanne Sedan 2011,36
Mazda Tribute SUV 2011,36
Bentley Continental GT Coupe 2012,35
Buick Regal GS 2012,35
Chevrolet Express Van 2007,35
BMW ActiveHybrid 5 Sedan 2012,34
FIAT 500 Convertible 2012,34
Infiniti G Coupe IPL 2012,34
Hyundai Sonata Hybrid Sedan 2012,34
Bugatti Veyron 16.4 Convertible 2009,33
Infiniti QX56 SUV 2011,33
Aston Martin Virage Convertible 2012,33
Acura RL Sedan 2012,32
Rolls-Royce Phantom Drophead Coupe Convertible 2012,31
Chevrolet Express Cargo Van 2007,30
Maybach Landaulet Convertible 2012,29
FIAT 500 Abarth 2012,28
Hyundai Accent Sedan 2012,24
